,Id,Label,Degree,Pageranks,Eigencentrality,Package,FinalRiskScore
356,356,ray-2.3.1,44,0.000059,0.00274,ray,0.496479929
357,357,dm-tree-0.1.8,11,0.000088,0.00557,dm-tree,0.768635328
358,358,grpcio-1.53.0,81,0.001337,0.04742,grpcio,0.671641247
359,359,gymnasium-0.26.3,4,0.000036,0.00059,gymnasium,0.515667102
360,360,msgpack-1.0.5,47,0.000432,0.02349,msgpack,0.713972512
361,361,protobuf-3.20.3,62,0.001692,0.04311,protobuf,0.796701697
362,362,scikit-image-0.20.0,65,0.000352,0.02569,scikit-image,0.45153039
363,363,tensorboardx-2.6,8,0.000048,0.00242,tensorboardx,0.650268131
364,364,typer-0.7.0,34,0.000242,0.01452,typer,0.675640048
365,365,virtualenv-20.21.0,21,0.000147,0.00782,virtualenv,0.590201526
366,366,aiohttp-cors-0.7.0,10,0.000064,0.00349,aiohttp-cors,0.632374749
367,367,colorful-0.5.5,5,0.000081,0.00244,colorful,0.923863573
368,368,gpustat-1.1,10,0.000121,0.00333,gpustat,0.764192151
369,369,opencensus-0.11.2,4,0.000042,0.00107,opencensus,0.718518538
370,370,prometheus-client-0.16.0,22,0.000227,0.01122,prometheus-client,0.701921834
371,371,py-spy-0.3.14,1,0.000036,0.00059,py-spy,0.607901681
372,372,smart-open-6.3.0,14,0.000093,0.00403,smart-open,0.640032384
373,373,smart-open-5.2.1,4,0.000044,0.00196,smart-open,0.640032384
374,374,grpcio-1.54.0,8,0.000127,0.0051,grpcio,0.671641247
375,375,gymnasium-notices-0.0.1,1,0.000045,0.00048,gymnasium-notices,0.684439134
376,376,imageio-2.27.0,36,0.000186,0.01401,imageio,0.709105247
377,377,lazy-loader-0.2,4,0.000082,0.00319,lazy-loader,0.668272452
378,378,pywavelets-1.4.1,13,0.000112,0.0046,pywavelets,0.681690973
379,379,tifffile-2023.4.12,27,0.000151,0.01109,tifffile,0.745554601
380,380,numpy-1.23.0,6,0.000133,0.00417,numpy,0.260893907
381,381,numpy-1.24.1,8,0.000192,0.0056,numpy,0.260893907
382,382,rich-12.6.0,19,0.000274,0.00896,rich,0.65949082
383,383,shellingham-1.5.1,8,0.000189,0.00513,shellingham,0.690978053
384,384,distlib-0.3.6,2,0.000067,0.00128,distlib,0.735784534
385,385,platformdirs-3.2.0,22,0.000377,0.01269,platformdirs,0.614898023
386,386,platformdirs-2.6.2,6,0.000089,0.0032,platformdirs,0.614898023
387,387,gpr-complex-0.3.1,3,0.000035,0,gpr-complex,0.831632338
388,388,bokeh-3.1.0,27,0.000124,0.00759,bokeh,0.585996621
389,389,xyzservices-2023.2.0,4,0.000066,0.00227,xyzservices,0.690463535
390,390,tornado-6.3,26,0.000313,0.0149,tornado,0.551278058
391,391,graphlan-1.1.3.1,3,0.000035,0,graphlan,0.828291453
392,392,biopython-1.76,2,0.000045,0.00046,biopython,0.494134228
393,393,huaweicloudsdkcloudpipeline-3.1.36,1,0.000035,0,huaweicloudsdkcloudpipeline,0.802595805
394,394,huaweicloudsdkcore-3.1.36,135,0.003919,0.0599,huaweicloudsdkcore,0.802215214
395,395,simplejson-3.19.1,50,0.001199,0.02679,simplejson,0.598301688
396,396,hpl-specs-0.2.3,4,0.000053,0.00094,hpl-specs,0.695092549
397,397,lark-parser-0.12.0,4,0.000105,0.0019,lark-parser,0.710830481
398,398,htmlx-0.0.3,1,0.000035,0,htmlx,0.831808486
399,399,grma-0.0.5,1,0.000035,0,grma,0.811111595
400,400,setproctitle-1.1.10,1,0.000065,0.00046,setproctitle,0.664442386
401,401,gridjug-0.4.0,3,0.000035,0,gridjug,0.830078732
402,402,gridmap-0.15.0,5,0.000045,0.00046,gridmap,0.645917832
403,403,jug-2.2.2,1,0.000045,0.00046,jug,0.746009243
404,404,drmaa-0.7.9,1,0.000044,0.00048,drmaa,0.772145903
405,405,psutil-5.9.4,87,0.000771,0.04206,psutil,0.60049988
406,406,pyzmq-25.0.2,31,0.000273,0.01672,pyzmq,0.530916382
407,407,googlewifi-0.0.21,1,0.000035,0,googlewifi,0.671143897
408,408,ghome-foyer-api-1.0.0,4,0.00007,0.00091,ghome-foyer-api,0.671641247
409,409,gpm-player-0.1.2,3,0.000035,0,gpm-player,0.69510028
410,410,gmusicapi-13.0.0,16,0.000109,0.00231,gmusicapi,0.823584563
411,411,inputimeout-1.0.4,1,0.000045,0.00046,inputimeout,0.671641247
412,412,python-vlc-3.0.18121,1,0.000045,0.00046,python-vlc,0.671641247
413,413,appdirs-1.4.4,113,0.000923,0.05338,appdirs,0.888058864
414,414,gpsoauth-1.0.2,5,0.000076,0.00153,gpsoauth,0.77542685
415,415,mechanicalsoup-1.2.0,7,0.000085,0.00196,mechanicalsoup,0.603915889
416,416,mutagen-1.46.0,7,0.000137,0.00338,mutagen,0.743698562
417,417,oauth2client-4.1.3,65,0.000534,0.02743,oauth client,0.581500734
418,418,proboscis-1.2.6.0,1,0.000043,0.00057,proboscis,0.671641247
419,419,validictory-1.1.2,1,0.000043,0.00057,validictory,0.677353848
420,420,pyasn1-modules-0.2.8,16,0.000484,0.01187,pyasn -modules,0.774822514
421,421,rsa-4.9,18,0.000555,0.01261,rsa,0.742677869
422,422,httplib2-0.19.0,6,0.000172,0.00473,httplib,0.724571015
423,423,hrprotoparser-0.1.dev1,1,0.000035,0,hrprotoparser- dev,0.671641247
424,424,skbs-2.2.1,4,0.000065,0.00046,skbs,0.758341847
425,425,tempiny-1.1,1,0.000053,0.00048,tempiny,0.758397739
426,426,abrade-0.1.1,2,0.000035,0,abrade,0.711036989
427,427,bs4-0.0.1,86,0.000774,0.03665,bs,0.671641247
428,428,beautifulsoup4-4.7.1,5,0.000151,0.00312,beautifulsoup,0.671641247
429,429,beautifulsoup4-4.8.1,3,0.000131,0.00267,beautifulsoup,0.671641247
430,430,beautifulsoup4-4.9.3,10,0.000208,0.00561,beautifulsoup,0.671641247
431,431,beautifulsoup4-4.9.1,9,0.000169,0.0045,beautifulsoup,0.671641247
432,432,beautifulsoup4-4.10.0,7,0.000141,0.00358,beautifulsoup,0.671641247
433,433,beautifulsoup4-4.11.1,9,0.000143,0.00459,beautifulsoup,0.671641247
434,434,hg0428db-0.0.3,1,0.000035,0,hg db,0.695306037
435,435,hashchecker-1.3,3,0.000035,0,hashchecker,0.831640305
436,436,http-requests-0.1,2,0.000035,0,http-requests,0.831902565
437,437,haystack-redis-0.0.1,3,0.000035,0,haystack-redis,0.941823875
438,438,django-haystack-3.2.1,2,0.000045,0.00046,django-haystack,0.688572416
439,439,redis-4.5.4,53,0.00066,0.02387,redis,0.790196394
440,440,whoosh-2.7.4,5,0.000049,0.00233,whoosh,0.671641247
441,441,hiredis-2.2.2,3,0.000342,0.00253,hiredis,0.576936617
442,442,abundancematching-0.3.0,2,0.000035,0,abundancematching,0.821004039
443,443,griffin-powermate-1.0.2,1,0.000035,0,griffin-powermate,0.820756298
444,444,pywinusb-0.4.2,1,0.000065,0.00046,pywinusb,0.80026854
445,445,hardness-0.3,7,0.000035,0,hardness,0.831734309
446,446,argiope-0.3,7,0.000039,0.00046,argiope,0.812180835
447,447,jupyter-1.0.0,31,0.000131,0.00779,jupyter,0.671641247
448,448,nbconvert-7.3.1,31,0.000106,0.008,nbconvert,0.64236639
449,449,ipykernel-6.22.0,37,0.000224,0.01227,ipykernel,0.533927788
450,450,ipywidgets-8.0.6,38,0.000455,0.01582,ipywidgets,0.650128916
451,451,jupyter-console-6.6.3,10,0.000043,0.00083,jupyter-console,0.671641247
452,452,notebook-6.5.4,38,0.000181,0.00654,notebook,0.671641247
453,453,qtconsole-5.4.2,23,0.000066,0.00425,qtconsole,0.696463892
454,454,ipykernel-5.3.4,10,0.000067,0.00354,ipykernel,0.533927788
455,455,ipywidgets-7.7.2,8,0.000044,0.00129,ipywidgets,0.650128916
456,456,jupyter-console-6.4.4,6,0.000043,0.00083,jupyter-console,0.671641247
457,457,nbconvert-7.2.8,19,0.000053,0.00237,nbconvert,0.64236639
458,458,notebook-6.4.12,21,0.000096,0.00325,notebook,0.671641247
459,459,jupyter-console-6.4.2,6,0.000043,0.00083,jupyter-console,0.671641247
460,460,nbconvert-5.6.1,13,0.000046,0.00134,nbconvert,0.64236639
461,461,notebook-5.7.16,15,0.000053,0.00129,notebook,0.671641247
462,462,comm-0.1.3,3,0.000051,0.00148,comm,0.668448879
463,463,debugpy-1.6.7,3,0.000052,0.00193,debugpy,0.573260322
464,464,ipython-8.12.0,82,0.000506,0.03461,ipython,0.544012126
465,465,jupyter-client-8.2.0,25,0.000155,0.01069,jupyter-client,0.553183333
466,466,jupyter-core-5.3.0,26,0.000215,0.01466,jupyter-core,0.583393962
467,467,matplotlib-inline-0.1.6,7,0.000095,0.00498,matplotlib-inline,0.622476295
468,468,nest-asyncio-1.5.6,23,0.000147,0.01202,nest-asyncio,0.779310887
